Identification Number,Room Assignment for Day 1,Room Assignment for Day 2,Outlook 1,Outlook 2,Proposal 1,Proposal 2,Proposal 3,Proposal 4,Proposal 5,Proposal 6,Proposal 7,Proposal 8,Proposal 9,Proposal 10,Proposal 11,Proposal 12,Motivations 1,Motivations 2,Motivations 3,Motivations 4,Motivations 5,Motivations 6,Motivations 7,Motivations 8,Motivations 9,Motivations 10,Motivations 11,Motivations 12,Motivations 13,Motivations 14,Motivations 15,Motivations 16,Motivations 17,Motivations 18,Motivations 19,Motivations 20,Motivations 21,Motivations 22,Motivations 23,Motivations 24,Motivations 25,Motivations 26,Motivations 27,Motivations 28,Motivations 29,Motivations 30,Motivations 31,Motivations 32,Motivations 33,Values 1,Values 2,Values 3,Values 4,Values 5,Values 6,Values 7,Values 8,Values 9,Mutual Respect 1,Mutual Respect 2,Mutual Respect 3,Mutual Respect 4,Mutual Respect 5,Mutual Respect 6,Political Efficacy 1,Political Efficacy 2,Political Efficacy 3,Political Efficacy 4,Political Efficacy 5,Political Efficacy 6,Political Efficacy 7,Political Efficacy 8,Knowledge 1,Knowledge 2,Knowledge 3,Knowledge 4,Knowledge 5,Knowledge 6,Knowledge 7,Knowledge 8,Knowledge 9,Knowledge 10,Knowledge 11,Evaluation 1,Evaluation 2,Evaluation 3,Evaluation 4,Evaluation 5,Evaluation 6,Evaluation 7,Evaluation 8,Evaluation 9,View of the Democratic Party,View of the Republican Party,View of Congress,View of the President,Overall,Registered to Vote,Voted Before,Political Party Preference,Independent Party Lean,Democratic Party Loyalty,Republican Party Loyalty,Region,Gender,Race and Ethnicity,Education Category,Enrollment Status,University Type,Employment Status,Household Income Level,Interest in Political Issues (Before Deliberation),Interest in Political Issues (After Deliberation),Interest in Social Issues (Before Deliberation),Interest in Social Issues (After Deliberation),Economic Situation (Before Deliberation),Economic Situation (After Deliberation),Read the News on the Internet,Talked with Others about Politics,Use of Social Media for News,Household Income Level (Scale),Political Ideology (Scale),Political Ideology (Scale) (After Deliberation),Age (Scale)
1,20210501-shapefuture-a-session2-w,20210502-shapefuture-a-session2-b,0,10,0,0,0,0,0,0,0,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,10,0,10,10,1,1,1,0,0,0,0,0,0,0,1,,,,,,,,,,100,1,1,100,,1,1,1,,1,,1,2,1,1,1,,4,1,1,4,1,4,4,5,8,7,1,1,0,0,25
2,20210501-shapefuture-a-session1-q,20210502-shapefuture-a-session1-p,7,9,8,6,6,9,3,8,8,6,5,6,7,7,9,9,8,9,8,8,9,9,9,8,8,9,7,9,10,9,5,5,4,8,7,8,8,8,5,7,6,6,8,4,8,8,7,7,8,8,9,7,8,8,7,8,9,7,7,4,7,6,7,8,9,8,9,8,8,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,85,,1,1,1,,2,,1,1,3,3,1,,1,6,1,2,1,2,3,1,8,5,2,6,3,2,23
3,20210501-shapefuture-a-session2-x,20210502-shapefuture-a-session2-a,7,8,7,9,5,8,8,7,7,8,9,7,8,7,7,8,7,6,7,6,8,9,8,8,10,8,9,8,9,4,9,4,6,8,6,6,9,8,7,8,7,8,7,7,8,8,7,9,6,7,5,7,6,8,8,8,8,5,7,5,6,4,6,5,7,5,8,5,4,7,1,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,40,39,42,29,,1,1,2,2,,,1,2,1,1,1,,2,1,1,1,2,1,2,4,8,7,2,1,6,4,28
4,20210501-shapefuture-a-session2-v,20210502-shapefuture-a-session2-v,8,7,9,5,4,5,6,6,5,5,6,6,7,4,3,6,8,8,8,6,8,7,7,4,3,9,5,4,5,10,8,5,7,,6,4,1,10,5,6,9,10,2,7,8,3,2,7,6,2,3,5,9,,10,5,4,4,3,7,5,9,8,7,4,3,4,3,5,2,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,58,84,73,76,,1,2,1,,1,,2,2,1,1,1,,3,1,1,1,1,1,2,1,6,6,1,1,1,10,18
5,20210501-shapefuture-b-session2-e,20210502-shapefuture-b-session2-i,4,10,5,5,5,7,4,7,4,10,10,5,10,4,10,6,10,0,10,5,5,10,6,10,10,10,10,10,6,10,5,7,8,7,10,,10,10,2,8,8,7,7,5,10,0,2,10,10,10,10,10,10,5,6,10,10,8,7,6,10,7,5,8,0,10,5,1,10,10,1,0,1,0,0,0,0,1,0,0,1,,,,,,,,,,46,,,65,,1,1,1,,2,,1,1,4,2,2,1,1,,3,4,2,3,2,1,6,1,1,8,8,8,
6,,20210502-shapefuture-a-session2-w,3,7,5,8,2,7,4,3,8,3,3,10,6,9,7,7,7,3,9,6,7,7,7,7,8,8,3,4,8,8,3,4,7,4,7,7,7,1,1,4,9,9,9,9,9,4,3,3,3,7,7,4,8,8,3,5,8,6,8,3,3,8,5,7,6,3,2,3,6,7,1,1,1,1,1,1,0,1,0,1,1,,,,,,,,,,34,28,32,40,,2,2,2,1,,,2,2,1,1,1,,4,4,3,3,3,2,3,3,5,2,2,4,4,3,18
7,20210501-shapefuture-a-session1-c,,4,8,6,6,4,10,10,7,6,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,20,20,20,20,,1,2,4,2,,,1,1,2,1,1,,2,1,4,3,2,3,5,5,4,0,4,1,5,4,21
8,20210501-shapefuture-b-session2-g,20210502-shapefuture-b-session2-b,4,8,4,6,3,9,7,8,1,9,2,7,5,6,8,7,9,4,7,5,7,6,6,8,7,5,3,7,8,9,0,0,5,4,7,9,4,5,3,6,3,3,4,3,7,6,7,7,8,7,6,5,5,8,3,8,6,7,5,4,8,7,1,4,4,7,5,8,2,10,1,1,1,1,1,1,0,1,1,0,1,,,,,,,,,,62,40,38,43,,1,1,1,,2,,1,2,1,3,1,,5,2,2,2,2,2,5,5,8,4,5,2,2,3,26
9,20210501-shapefuture-a-session2-t,20210502-shapefuture-a-session2-t,7,8,,7,7,5,5,8,6,7,8,,8,3,10,10,10,8,8,,10,5,10,7,7,7,7,7,10,8,5,6,7,4,6,9,10,7,4,6,,2,7,5,8,5,5,9,8,8,8,,,6,7,10,5,7,6,5,7,6,6,6,7,8,5,6,9,10,1,1,1,0,0,0,0,1,0,0,1,,,,,,,,,,71,34,50,76,,1,1,1,,1,,2,1,1,2,2,2,1,1,2,2,2,2,3,4,6,2,3,1,4,4,
10,20210501-shapefuture-a-session2-t,20210502-shapefuture-a-session2-w,7,7,8,8,9,9,7,6,5,5,5,5,6,6,8,8,8,7,7,7,9,4,7,7,7,7,6,7,8,7,6,4,0,0,7,7,7,6,2,5,5,6,5,5,10,10,8,10,10,10,10,9,5,6,6,7,6,6,6,4,8,8,7,2,2,10,10,7,10,10,1,1,1,1,1,1,0,1,0,1,1,,,,,,,,,,65,25,50,75,,1,2,2,1,,,1,2,3,1,1,,4,5,1,1,1,1,3,3,8,1,2,5,3,1,18
